id,user,videoId
390.0,44.0,3.0
391.0,44.0,4.0
392.0,44.0,5.0
393.0,44.0,6.0
394.0,44.0,7.0
395.0,44.0,8.0
396.0,45.0,0.0
397.0,45.0,1.0
398.0,45.0,2.0
399.0,45.0,3.0
400.0,45.0,4.0
401.0,45.0,5.0
402.0,45.0,6.0
403.0,45.0,7.0
404.0,45.0,8.0
405.0,46.0,0.0
406.0,46.0,1.0
407.0,46.0,2.0
408.0,46.0,3.0
409.0,46.0,4.0
410.0,46.0,5.0
411.0,46.0,6.0
412.0,46.0,7.0
413.0,46.0,8.0
414.0,47.0,0.0
415.0,47.0,1.0
416.0,47.0,2.0
417.0,47.0,3.0
418.0,47.0,4.0
419.0,47.0,5.0
420.0,47.0,6.0
421.0,47.0,7.0
422.0,47.0,8.0
423.0,48.0,0.0
424.0,48.0,1.0
425.0,48.0,2.0
426.0,48.0,3.0
427.0,48.0,4.0
428.0,48.0,5.0
429.0,48.0,6.0
430.0,48.0,7.0
431.0,48.0,8.0
